q,options,answer,explain
"Which is the first stage of the AI Project Cycle?","Data Acquisition|Problem Scoping|Modelling|Evaluation",1,"Problem Scoping comes first because you must define the problem before collecting data."
"The AI Project Cycle primarily contains how many core stages?","3|4|5|6",2,"The cycle generally includes Problem Scoping, Data Acquisition, Modelling, and Evaluation."
"Which stage focuses on defining stakeholders, goals and constraints?","Data Exploration|Problem Scoping|Evaluation|Deployment",1,"Problem Scoping identifies what the problem is, who it affects, and what limits exist."
"The 4Ws Problem Canvas stands for:","Who, What, Where, Why|Who, When, What, Why|Who, What, When, Where|What, Why, When, How",0,"The 4Ws help break down the problem into Who, What, Where, and Why."
"In the 4Ws Canvas, the Who block identifies:","Data sources|Algorithms|Stakeholders affected by the problem|Hardware requirements",2,"The Who section refers to people involved or impacted by the solution."
"Which stage involves collecting reliable and relevant data?","Evaluation|Data Acquisition|Modelling|Problem Scoping",1,"Data Acquisition is the stage where data is gathered from various sources."
"During Data Acquisition, which of the following is a valid data type?","Text only|Text, images, audio, video|Images only|Numbers only",1,"Data can come in many formats including text, images, audio, and video."
"Which stage focuses on summarising, cleaning, and visualising the data?","Modelling|Data Exploration|Evaluation|Problem Scoping",1,"Data Exploration helps understand and clean the data before modelling."
"Creating and training a Decision Tree model happens in:","Modelling|Evaluation|Problem Scoping|Data Acquisition",0,"Modelling involves selecting and training algorithms like Decision Trees."
"Splitting data into train and test sets is part of:","Data Exploration|Modelling|Evaluation|Problem Scoping",2,"Evaluating a model requires testing it on unseen (test) data."
"Which metric is used for evaluating classification models?","Mean Absolute Error|Precision and Recall|RMSE|R^2",1,"Precision and Recall are used for classification tasks."
"The Why block in 4Ws helps to:","Pick algorithms|Identify benefits and impact of solving the problem|Collect data|Deploy the model",1,"Why helps identify the purpose and expected impact of solving the problem."
"A problem statement template is used to:","Write code|Condense 4Ws insights into a clear statement|Store datasets|Design UI",1,"It summarises the 4Ws into one clear problem description."
"Which stage often uses graphs like bar charts or histograms?","Data Exploration|Modelling|Evaluation|Data Acquisition",0,"Graphs help explore data patterns during Data Exploration."
"In evaluation, Accuracy is best defined as:","TP/(TP+FP)|TP/(TP+FN)|(TP+TN)/(TP+FP+FN+TN)|FP/(TP+FP)",2,"Accuracy measures the total proportion of correct predictions."
"The Confusion Matrix is used to evaluate:","Regression models|Classification models|Clustering models|Rule-based systems only",1,"A confusion matrix shows correct and incorrect predictions for classification."
"Which term means the model performs well on training data but poorly on new data?","Generalisation|Underfitting|Overfitting|Normalization",2,"Overfitting happens when a model memorises training data instead of learning patterns."
"Which is an example of a supervised learning algorithm commonly taught in Class 10?","K-Means|Decision Tree|DBSCAN|Apriori",1,"Decision Trees learn from labelled data and are supervised algorithms."
"Valid sources for Data Acquisition include:","Surveys and sensors|Random guesses|Only paid datasets|Only social media",0,"Survey responses and sensor readings are valid reliable data sources."
"One goal of Problem Scoping is to link the project to:","Sustainable Development Goals (SDGs)|Only hardware lists|Only software licenses|None of the above",0,"Projects often connect to global challenges defined in the SDGs."
"The AI Project Cycle is best described as:","A one-time linear process|An iterative framework|Only for experts|A hardware checklist",1,"The cycle is iterative, meaning you refine steps based on results."
"During Modelling, you should choose algorithms based on:","Random choice|Problem type and data characteristics|Font styles|GPU brand",1,"The right algorithm depends on whether the problem is classification, regression, etc."
"In supervised learning, classification vs regression differs by:","Inputs used|Type of output (categories vs continuous values)|Who collects data|How visualisations look",1,"Classification predicts categories, while regression predicts continuous values."
"Handling missing values usually belongs to:","Data Exploration|Problem Scoping|Evaluation|Deployment",0,"Cleaning missing data happens during Data Exploration."
"Bias in AI systems often arises when:","Training data is not representative|We use charts|We split data|We write comments",0,"Bias appears when data does not cover all groups fairly."
"Precision is defined as:","TP/(TP+FN)|(TP+TN)/(Total)|TP/(TP+FP)|FP/(TP+FN)",2,"Precision tells how many predicted positives were actually correct."
"Recall is defined as:","TP/(TP+FN)|TP/(TP+FP)|FP/(TP+FN)|TN/(TN+FP)",0,"Recall measures how many actual positives were correctly identified."
"The F1 Score is:","Arithmetic mean of precision and recall|Harmonic mean of precision and recall|Geometric mean of accuracy|A loss function",1,"The F1 score balances precision and recall using the harmonic mean."
"The purpose of a train–test split is to:","Improve UI|Fairly evaluate model performance on unseen data|Collect more data|Increase training speed only",1,"A test set helps measure how well the model performs on new data."
"A rule-based approach uses:","Explicit if–then rules|Neural networks|Decision boundaries learned from data|Random forests only",0,"Rule-based systems work on fixed if–then rules."
"During Data Acquisition, we must respect:","Only speed|Privacy, permissions, and data ethics|UI themes|Font licensing",1,"Ethical data handling ensures privacy and proper permissions."
"Error analysis (understanding mistakes) belongs to:","Evaluation|Problem Scoping|Data Acquisition|Modelling",0,"Evaluation includes checking where the model made mistakes."
"Stakeholders are:","Only developers|People affected by or benefiting from the solution|Only teachers|Only customers",1,"Stakeholders include anyone impacted by the AI solution."
"The Where block in 4Ws helps to understand:","Model hyperparameters|Deployment cloud vendor|Context and environment of the problem|Programming language",2,"Where describes the environment or setting of the problem."
"Common data types for AI projects include:","Only text|Text, numeric tables, images, audio, video|Only audio|Only video",1,"AI can work with multiple data types, not just text."
"Modelling includes:","Algorithm selection and training|Only drawing charts|Writing the problem statement|Buying hardware",0,"Modelling involves choosing and training algorithms."
"Visualisation is used to:","Hide patterns|Uncover patterns and insights in data|Replace evaluation|Skip modelling",1,"Charts help detect trends and patterns in data."
"After Evaluation, the typical next action is to:","Publish regardless|Iterate—refine earlier stages based on findings|Delete data|Ignore ethics",1,"Evaluation results help improve earlier stages in the cycle."
"Which stage is most closely associated with cleaning data?","Problem Scoping|Data Exploration|Modelling|Evaluation",1,"Data cleaning is a major part of Data Exploration."
"Selecting appropriate features for the model primarily belongs to:","Modelling/Data Exploration|Problem Scoping|Deployment|None",0,"Feature selection is split between Data Exploration and Modelling."
